"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Keybind:Toggle Main Menu","TM:PE-Hauptmenü anzeigen","Toggle TM:PE Main Menu","Alternar menú principal","Bascule vers le Menu Principal de TM:PE","TM:PE főmenü átkapcsolása","Attiva/disattiva il menù principale di TM:PE","TM:PE メインメニューの切り替え","TM:PE 메인 메뉴 토글","Wissel Hoofdmenu","Menu TM:PE","Alternar o Menu Principal do TM:PE","Показать или скрыть меню TM:PE","調整主選單","开关TM:PE主菜单","Toggle TM:PE Main Menu","Ana Menü","Показати/сховати головне меню","Otevřít hlavní nabídku Traffic Managera","Otvoriť hlavné menu Traffic Managera","สลับเมนูหลัก TM:PE","Deschide Meniu Principal","","ﺔﻴﺴﻴﺋﺮﻟﺍ ﺔﻤﺋﺎﻘﻟﺍ TM:PE ﺡﺎﺘﻔﻣ","Aktifkan/nonaktifkan menu utama","Ẩn hiện bảng chính","Avaa valikko"
"KeybindCategory:Global","Allgemeine Tasten","Global keys","Teclas globales","Global keys","Általános gombok","Tasti globali","グローバルのキー設定","글로벌 키","Globale Sneltoetsen","Główne","Atalhos globais","Общие комбинации клавиш","全域快捷鍵","全局快捷键","Global keys","Genel","Глобальні параметри","Globální klávesy","Globálne","คีย์ส่วนกลาง","Taste Globale","","ﺔﻴﻣﻮﻤﻋ ﺢﻴﺗﺎﻔﻣ","Tombol global","Toàn bộ phím tắt","Globaalit näppäimet"
"KeybindCategory:LaneConnector","Tasten für 'Fahrspurverbinder' Werkzeug","Lane Connector Tool keys","Teclas de la herramienta Conector de carriles","Lane Connector Tool keys","Sávcsatlakozó eszköz gombjai","Chiavi dello strumento connettore di corsia","レーン接続ツールのキー設定","차선 연결 도구 키","Lijn Connectie Sneltoetsen","Narzędzie: Połącz pasy ruchu","Conector de faixas","Инструмент ""Соединения полос движения""","車道連接","车道连接工具按键","Lane Connector Tool keys","Şerit birleştiricisi","Клавіші інструменту з'єднання смуг руху","Ovládání jízdních pruhů","Ovládanie jazdných pruhov","คีย์เครื่องมือตัวเชื่อมต่อเลน","Conector de benzi","","ﺕﺍﺭﺎﺤﻟﺍ ﻞﺻﻮﻣ ﺓﺍﺩﺃ ﺢﻴﺗﺎﻔﻣ","Tombol perhubungan lajur","Phím công cụ kết nối làn","Kaistaliittymätyökalun näppäimet"
"Tab:Maintenance","Wartung","Maintenance","Mantenimiento","Maintenance","Karbantartás","Manutenzione","メンテナンス","유지보수","Onderhoud","Konserwacja","Manutenção","Сервис","維護","维修","Maintenance","Bakım","Обслуговування","Údržba","Údržba","การบำรุงรักษา","Mentenanță","","ﺔﻧﺎﻴﺻ ﻝﺎﻤﻋﺍ","Pemeliharaan","Bảo trì",""
"Checkbox:Parking restrictions","Parkverbote","Parking restrictions","Restricciones de los estacionamientos","Restrictions de stationnement","Parkolási korlátozások","Divieti di sosta","駐車規制","주차 제한","Parkeerbeperkingen","Ograniczenia parkingowe","Restrições de estacionamento","Ограничения парковки","停車限制","路旁停车限制","Parking restrictions","Park kısıtlamaları","Обмеження паркування","Omezení parkování","Obmedzenie parkovania","ข้อจํากัดที่จอดรถ","Restricții de parcare","","ﻒﻗﺍﻮﻤﻟﺍ ﺩﻮﻴﻗ","Larangan parkir","Hạn chế đỗ xe",""
"Checkbox:Priority signs","Vorfahrtsschilder","Priority signs","Señales de prioridad","Signes de priorité","Elsőbbségi jelek","Segnali stradali","優先関係標識","우선주행 표지판","Voorrangsborden","Znaki pierwszeństwa","Placas de prioridade","Знаки приоритета","優先通行權標誌","优先通行权设置","Priority signs","Öncelik işaretleri","Знаки пріорітету руху","Značky předností","Značky prednosti ","เครื่องหมายลําดับความสําคัญ","Semne de circulație de prioritate","","ﺕﺎﻣﻼﻌﻟﺍ ﺔﻳﻮﻟﻭﺃ","Rambu prioritas","Biển báo ưu tiên",""
"VR.Dropdown.Option:High Aggression","Hoch","High","Alta","Haute","Magas","Alto","高い","높음","Hoog","Wysoka","Alta","Почти все","高","高","High","Yüksek sertlik","Дуже старанно слідують","Vysoká agresivita","Vysoká agresivita ","สูง","Agresiune Ridicată","","ﻲﻟﺎﻋ","Tinggi","Cao",""
"VR.Dropdown.Option:Low Aggression","Niedrig","Low","Baja","Basse","Alacsony","Basso","低い","낮음","Laag","Niska","Baixa","Иногда","低","低","Low","Düşük sertlik","Так собі","Nízká agresivita","Nízka agresivita","ต่ำ","Agresiune scăzută","","ﺾﻔﺨﻨﻣ","Rendah","Thấp",""
"VR.Dropdown.Option:Medium Aggression","Mittel","Normal","Media","Moyenne","Közepes","Medio","中くらい","중간","Middelhoog","Średnia","Média","Большинство","中","中","Medium","Orta sertlik","Старанно слідують","Střední agresivita","Stredná agresivita","ปกติ","Agresiune medie","","ﻝﺪﺘﻌﻣ","Sedang","Vừa",""
"VR.Dropdown.Option:Strict","Strikt","Strict","Estricto","Stricte","Szigorú","Rigoroso","厳密","엄격함","Strikt","Ścisła","Restrita","Все","嚴格","严格","Strict","Sıkı","Ніяких порушень","Striktní","Striktná","เข้มงวด","Stricte","","ﺩﺪﺸﺘﻣ","Tegas","Nghiêm ngặt",""
"Maintenance.Checkbox:Show path-find stats","Path-Find Statistik anzeigen","Show path-find stats","Mostrar estadísticas de búsqueda de rutas","Afficher le chemin d'accès des stats","Útvonalkeresési statisztikák megjelenítése","Mostra statistiche path-find","パス検索統計情報を表示する","path-find 수치 표시","Toon path-find statistieken","Pokaż statystyki znajdowania tras","Mostrar estatísticas de path-find","Показать статистику поиска пути","顯示尋徑統計","显示车辆寻找路线数据","Show path-find stats","Yol bulma istatistiklerini göster","Показати статистику пошуку шляхів (для розробників)","Zobrazit statistiku hledání cest","Zobraziť štatistiku hľadania ciest","แสดงสถิติการค้นหาเส้นทาง","Arată statistici de alegerea drumului","","ﺭﺎﺴﻤﻟﺍ ﺩﺎﺠﻳﺇ ﺕﺎﻴﺋﺎﺼﺣﺍ ﺭﺎﻬﻇﺍ","Perlihatkan statistik pencarian jalan","Hiện thống kê dò tìm đường",""
"Checkbox:Speed limits","Geschwindigkeitsbeschränkungen","Speed limits","Límites de velocidad","Limitations de vitesse","Sebességkorlátozó","Limiti di velocità","速度制限","속도 제한","Snelheidslimieten","Ograniczenia prędkości","Limites de velocidade","Ограничения скорости","速限","道路限速设置","Speed limits","Azami hızlar","Обмеження швидкості","Omezení rychlosti","Obmedzenia rýchlosti","จำกัดความเร็ว","Limite de viteză","","ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ","Batas kecepatan","Giới hạn tốc độ",""
"Tab:Gameplay","Spielerlebnis","Gameplay","Jugabilidad","Gameplay","Játékmenet","Gioco","ゲームプレイ","게임플레이","Spelverloop","Rozgrywka","Gameplay","Геймплей","遊戲","游戏","Gameplay","Oynayış","Ігровий процес","Hraní","Hra","เกมเพลย์","Joc","","ﺐﻌﻠﻟﺍ","Permainan","Cách chơi",""
"Tab:General","Allgemein","General","General","Général","Általános","Generale","全般","일반","Algemeen","Ogólne","Geral","Общее","一般","常规","General","Genel","Загальні","Hlavní nabídka","Hlavné","ทั่วไป","General","","ﻡﺎﻋ","Umum","Chung",""
"Tab:Keybinds","Tastenkombinationen","Keybinds","Teclado","Keybinds","Gyorsbillentyűk","Combinazioni di tasti","キーバインド","단축키","Sneltoetsen","Skróty klawiszowe","Atalhos","Клавиши","快捷鍵","按键绑定","Keybinds","Tuş Atamaları","Клавіші","Klávesové zkratky","Klavesy","ปุ่มลัด","Legături taste","","ﺢﻴﺗﺎﻔﻣ","Tombol","Phím tắt",""
"Tab:Overlays","Überlagerung","Overlays","Capas de información","Interface","Rátétek","Overlays","オーバーレイ","오버레이","Overlays","Nakładki","Sobreposições","Оверлеи","疊視圖層項目","图层","Overlays","Üstyazımlar","Інформація","Překrytí","Priehľadnosť","การซ้อนทับ","Suprapuneri","","ﺐﻛﺍﺮﺗ","Hamparan","Hình nổi",""
"Checkbox:Timed traffic lights","Zeitgesteuerte Ampeln","Timed traffic lights","Semáforos programados","Feux tricolores chronométrés","Időzített közlekedési lámpák","Semaforo (temporizzato)","時間設定付き信号","신호등 시간표","Getimede verkeerslichten","Sygnalizacja Czasowa","Semáforos cronometrados","Настраиваемый светофор","號誌燈時相設定","定时红绿灯设置","Timed traffic lights","Süreli trafik ışıkları","Світлофори з таймером","Časově řízené semafory","Časovo riadené semafory","สัญญาณไฟจราจรตามกำหนดเวลา","Semafoare sincronizate","","ﺔﺘﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ","Lampu lalu lintas dengan waktu","Hẹn giờ đèn giao thông",""
"Checkbox:Vehicle restrictions","Fahrzeugbeschränkungen","Vehicle restrictions","Restricción vehicular","Restrictions des véhicules","Járműkorlátozások","Restrizioni veicoli","車両規制","차량 제한","Voertuig beperkingen","Ograniczenia ruchu pojazdów","Restrições de veículos","Ограничения видов транспорта","車種限定","道路车种限制","Vehicle restrictions","Taşıt kısıtlamaları","Обмеження видів транспорту","Omezení vozidel","Obmedzenie vozidiel","จำกัดยานพาหนะ","Restricții vehicule","","ﺔﺒﻛﺮﻤﻟﺍ ﺩﻮﻴﻗ","Larangan kendaraan","Hạn chế phương tiện",""
"VR.Dropdown:Vehicle restrictions aggression","Auslegung der Fahrzeugbeschränkungen","Vehicle restrictions aggression","Restricción agresiva de vehículos","Restrictions agressives des véhicules","Járműkorlátozási agresszió","Rigorosità restrizioni veicoli","車両制限適用の厳格さ","차량 제한에 대한 엄격함","Agressie van voertuigbeperkingen","Agrasywność ograniczeń ruchu pojazdów","Agressividade na restrição de veículos","Послушное следование огранич. видов транспорта","車輛限制強度","车辆交规严格度","Vehicle restrictions aggression","Taşıt kısıtlama sertliği","Наскільки старанно водії слідують обмеженням руху","Dodržování omezení vozidel","Dodržiavanie obmedzení vozidiel","ข้อจํากัดความก้าวร้าวของยานพาหนะ","Restricții agresivitate vehicule","","ﺔﺒﻛﺮﻤﻟﺎﺑ ﺭﻮﻬﺘﻟﺍ ﺩﻮﻴﻗ","Agresi larangan kendaraan","Hạn chế phương tiện lấn làn",""
"Checkbox:Junction restrictions","Kreuzungsbeschränkungen","Junction restrictions","Restricciones de cruces","Restrictions des intersections","Csomópont korlátozások","Restrizioni incrocio","交差点の制限","교차로 규칙","Kruispunt beperkingen","Ograniczenia na skrzyżowaniach","Restrições de cruzamento","Ограничения на перекрёстках","交岔路口動線規則","路口管制","Junction restrictions","Kavşak kısıtlamaları","Обмеження на перехрестях","Přednosti na křižovatce","Prednosti na križovatke","ข้อจํากัดของทางแยก","Restricții Joncțiune","","ﻊﻃﺎﻘﺘﻟﺍ ﺩﻮﻴﻗ","Larangan persimpangan","Hạn chế giao lộ",""
"Maintenance.Checkbox:Turn on red","Bei Rot abbiegen","Turn on red","Encender luz roja","Tourner aux feux rouges","Kanyarodás pirosnál","Girare ai semafori rossi","赤信号で曲がる","빨간 신호등에서 우회전을 허용 규칙","Afslaan bij rood licht","Skręć w prawo na czerwonym","Virar nos semáforos vermelhos","Поворот (направо) на красный","紅燈時轉彎","红灯时允许转弯","Turn on red","Kırmızı ışık yanarken de dön","Дозвіл повороту на червоне світло","Povolit otáčení vozidel na červenou","Povoliť otáčanie vozidiel na červenej","เปิดเป็นสีแดง","Pornite pe roșu","","ﺀﺍﺮﻤﺤﻟﺍ ﺓﺭﺎﺷﻹﺍ ﻞﻴﻐﺸﺗ","Belok saat lampunya merah","Bật đèn đỏ",""
"Maintenance.Checkbox:Lane connector","Fahrspurverbinder","Lane connector","Conector de carriles","Connecteur de voies","Sávcsatlakozó","Connettore corsia","車線を接続","차선 연결","Rijstrookverbinder","Połącz pasy ruchu","Conector de faixas","Соединения полос движения","車道連接工具","车道连接工具","Lane connector","Şerit birleştiricisi","З'єднання смуг руху","Připojení jízdních pruhů","Pripojenie jazdných pruhov","ช่องต่อเลน","Conector Benzi","","ﻩﺭﺎﺤﻟﺍ ﻝﺎﺼﺗﺍ","Penghubung lajur","Kết nối làn xe",""
"Overlay.Checkbox:Connected lanes","Verbundene Fahrspuren","Connected lanes","Carriles conectados","Voies connectées","Összekapcsolt sávok","Corsie connesse","接続した車線","연결된 차선","Verbonden rijstroken","Połączenia pasów ruchu","Faixas conectadas","Связанные полосы движения","已連接車道","已连接车道","Connected lanes","Birleştirilmiş şeritler","Показати з'єднані смуги руху","Připojené jízdní pruhy","Pripojené jazdné pruhy","เลนที่เชื่อมต่อกัน","Benzi Conectate","","ﺔﻠﺼﺘﻤﻟﺍ ﺕﺍﺭﺎﺤﻟﺍ","Lajur yang telah dihubungkan","Làn đã kết nối",""
"Overlay.Checkbox:Nodes and segments","Knoten und Segmente","Nodes and segments","Nodos y segmentos","Intersections et segments","Csomópontok és szegmensek","Nodi e segmenti","交差点と道路の表示","노드와 세그먼트","Kruisingen en segmenten","Pokaż węzły i segmenty","Nódulos e segmentos","Узлы и сегменты","道路交岔點和路段","道路节点和路段","Nodes and segments","Boğumlar ve parçalar","Показати вузли мапи та сегменти","Uzly a segmenty","Uzly a segmenty","โหนดและเซ็กเมนต์","Noduri și segmente","","ﻊﻃﺎﻘﺘﻟﺍﻭ ﺪﻘﻌﻟﺍ","Persimpangan dan ruas","Nút và đoạn đường",""
"Overlay.Checkbox:Lanes","Fahrspuren","Lanes","Carriles","Voies","Sávok","Corsie","車線","차선","Rijkstroken","Pasy","Faixas","Полосы движения","車道","车道","Lanes","Şeritler","Показати смуги руху","Jízdní pruhy","Jazdné pruhy","เลน","Benzi","","ﺕﺍﺭﺎﺤﻟﺍ","Lajur","Làn xe",""
"Overlay.Checkbox:Vehicles","Fahrzeuge","Vehicles","Vehículos","Les véhicules","Járművek","Veicoli","車両","이동수단","Voertuigen","Pojazdy","Veículos","Транспортные средства","車輛","车辆","Vehicles","Taşıtlar","Показати автівки","Vozidla","Vozidlá","ยานพาหนะ","Vehicule","","ﺕﺎﺒﻛﺮﻣ","Kendaraan","Phương tiện",""
"Overlay.Checkbox:Citizens","Bürger","Citizens","Cims","Citoyens","Városlakók","Cittadini","市民","시민","Burgers","Obywatele","Cidadãos","Симы","市民","市民","Citizens","Vatandaşlar","Показати громадян","Obyvatelé","Občania","พลเมือง","Cetăţeni","","ﻦﻴﻨﻃﺍﻮﻣ","Warga","Công dân",""
"Overlay.Checkbox:Buildings","Gebäude","Buildings","Edificios","Bâtiments","Épületek","Edifici","建物","빌딩","Gebouwen","Budynki","Construções","Строения","建築","建筑","Buildings","Yapılar","Показати будівлі","Stavby","Budovy","อาคาร","Clădiri","","ﺕﺎﻳﺎﻨﺑ","Bangunan","Công trình",""
"Dialog.Text:Settings are stored in savegame","Einstellungen werden pro Spielstand gespeichert","Settings can only be changed whilst in-game, and are unique to each save game.","Los ajustes son definidos para cada partida por separado","Paramètres définis pour chaque sauvegarde séparément","A beállításokat csak a játék közben változtathatja meg, és minden mentett játékhoz egyedi.","I settaggi possono essere impostati separatamente per ogni salvataggio","設定は各セーブデータ毎に保存されます","설정은 게임 내에서만 변경할 수 있으며 저장된 게임마다 별개입니다.","Instellingen worden per spelstand opgeslagen","ustawienia są definiowane oddzielnie dla każdego zapisu","As configurações apenas podem ser modificadas durante o jogo, e são únicas para cada jogo salvo.","Настройки записываются отдельно в каждую сохранённую игру и менять вне игры их нельзя","須在遊戲中設定才有效；每個城市存檔儲存各自的設定","此设置只能在游戏中更改, 且此设置只会单独保存正在游玩的存档中.","Settings can only be changed whilst in-game, and are unique to each save game.","Ayarlar kaydedilen oyunda saklanır","Налаштування зберігаються у збереженій грі, не можна редагувати налаштування без активного сеансу гри","Nastavení by mělo být upravováno za předpokladu že postup hry byl předtím uložen a načten","Nastavenia by mali byť upravené za predpokladu, že predtým bola hra uložená a načítaná","การตั้งค่าจะถูกเก็บไว้ใน savegame","Setările sunt stocate în fișierul de salvare","","ﺎﻬﻈﻔﺣ ﻢﺘﻳ ﺔﺒﻌﻟ ﻞﻜﻟ ﺔﻳﺩﺮﻓ ﻥﻮﻜﺗﻭ ﺐﻌﻠﻟﺍ ﺀﺎﻨﺛﺃ ﻻﺇ ﺕﺍﺩﺍﺪﻋﻹﺍ ﺮﻴﻴﻐﺗ ﻦﻜﻤﻳ ﻻ","Setelan hanya dapat diubah di dalam game, dan bersifat unik untuk setiap save.","Cài đặt chỉ có thể thay đổi khi ta chơi, do vậy mỗi bản lưu là một nét riêng.",""
"Tab:Policies & Restrictions","Richtlinien","Policies","Normas","Politiques","Szabályok","Politiche e Restrizioni","ポリシーと制限","정책","Beleidsregels","Zasady","Políticas e Restrições","Политики","政策與限制","政策","Policies","Siyasalar & Kısıtlamalar","Обмеження","Pravidla & Omezení","Pravidlá & obmedzenia","นโยบายและข้อจํากัด","Politici și Restricții","","ﺕﺎﺳﺎﻴﺳ","Kebijakan","Chính sách và hạn chế",""
"VR.Group:At junctions","An Kreuzungen","At junctions","En los cruces","Aux intersections","A kereszteződésnél","Agli incroci","交差点で","교차로 설정","Bij splitsingen","Na skrzyżowaniach","Nos cruzamentos","На перекрёстках","交岔路口處","路口","At junctions","Kavşaklarda","На перехрестях","Na křižovatkách","Na križovatkach","ที่ทางแยก","În Intersecții","","ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﺪﻨﻋ","Pada persimpangan","Giao lộ",""
"VR.Checkbox:All vehicles may ignore lane arrows","Alle Fahrzeuge dürfen Richtungspfeile ignorieren","All vehicles may ignore lane arrows","Todos los vehículos pueden ignorar las flechas de los carriles","Tous les véhicules peuvent ignorer les directions des voies","Minden jármű figyelmen kívül hagyhatja az előjelző nyílakat","Tutti i veicoli possono ignorare le frecce di direzione","全車両に対して車線矢印の無視を許可","모든 차량이 차선 화살표를 무시할 수 있음","Alle voertuigen mogen voorsorteerpijlen negeren","Wszystkie pojazdy mogą ignorować strzałki pasów","Todos os veículos podem ignorar as setas das faixas","Весь транспорт может игнорировать стрелки движения","所有車輛可忽略車道遵行方向","所有车辆可忽略车道行车导向箭头","All vehicles may ignore lane arrows","Tüm taşıtlar şerit oklarını yoksayabilir","Всі авто можуть ігнорувати стрілки на смугах руху","Všechna vozidla mohou ignorovat směr jízdních pruhů","Všetky vozidlá môžu ingorovať smer jazdného pruhu","ยานพาหนะทั้งหมดอาจเพิกเฉยต่อลูกศรเลน","Toate vehiculele pot ignoră săgețile benzilor","","ﺕﺍﺭﺎﺤﻟﺍ ﻢﻬﺳﺃ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻊﻴﻤﺟ ﻞﻫﺎﺠﺘﺗ ﺪﻗ","Semua kendaraan boleh mengabaikan panah lajur","Mọi phương tiện có thể vi phạm vạch kẻ quy định hướng đi",""
"VR.Checkbox:Buses may ignore lane arrows","Busse dürfen Richtungspfeile ignorieren","Buses may ignore lane arrows","Buses pueden ignorar flechas de los carriles","Les bus peuvent ignorer les directions des voies","A buszok figyelmen kívül hagyhatják az előjelző nyílakat","I bus possono ignorare le frecce di direzione","バスに対して車線矢印の無視を許可","버스는 차선 화살표를 무시할 수 있음","Bussen mogen voorsorteerpijlen negeren","Autobusy mogą ignorować strzałki pasów","Ônibus podem ignorar as setas das faixas","Автобусы могут игнорировать стрелки движения","公車可忽略車道遵行方向","公交车可忽略车道行车导向箭头","Buses may ignore lane arrows","Otobüsler şerit oklarını yoksayabilir","Автобуси можуть ігнорувати стрілки на смугах руху","Autobusy mohou ignorovat směr jízdních pruhů","Autobusy môžu ignorovať smer jazdných pruhov","รถประจำทางอาจเพิกเฉยต่อลูกศรของเลน","Autobuzele pot ignoră săgețile benzilor","","ﺕﺍﺭﺎﺤﻟﺍ ﻢﻬﺳﺃ ﺕﻼﻓﺎﺤﻟﺍ ﻞﻫﺎﺠﺘﺗ ﺪﻗ","Bis diizinkan untuk mengabaikan panah lajur","Xe buýt có thể bỏ qua mũi tên chỉ hướng làn",""
"VR.Checkbox:Vehicles may enter blocked junctions","Fahrzeuge dürfen in blockierte Kreuzungen einfahren","Vehicles may enter blocked junctions","Vehículos pueden entrar a cruces bloqueados","Les véhicules peuvent entrer dans les intersections bloquées","A járművek behajthatnak a telített kereszteződésekbe","I veicoli possono entrare/occupare un incrocio bloccato","交差点内での停車を許可","모든 교차로에서 꼬리물기 허용","Voertuigen moge geblokkeerde kruisingen oprijden","Pojazdy mogą wjeżdżać na zablokowane skrzyżowania","Veículos podem entrar em junções bloqueadas","Разрешить заезжать на заблокированные перекрёстки","塞車回堵時不用保持路口淨空。","车辆可以驶入堵塞的路口排队","Vehicles may enter blocked junctions","Taşıtlar engellenmiş kavşaklara girebilir","Дозволити в'їзд на будь-які заблоковані перехрестя","Vozidla mohou vjet do zaplněné křižovatky","Vozidlá môžu vojsť do zablokovanej križovatky","ยานพาหนะอาจเข้าสู่ทางแยกที่ถูกปิดกั้น","Vehiculele pot intra în joncțiuni blocate","","ﺓﺩﻭﺪﺴﻤﻟﺍ ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﻲﻓ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻞﺧﺪﺗ ﺪﻗ","Kendaraan diizinkan untuk memasuki simpang yang penuh","Phương tiện có thể đi vào giao lộ bị cấm",""
"VR.Checkbox:Vehicles may do u-turns at junctions","Fahrzeuge dürfen an Kreuzungen wenden","Vehicles may do u-turns at junctions","Los vehículos pueden hacer giros en ""U"" en los cruces","Les véhicules peuvent faire demi-tour aux intersections","A járművek visszafordulhatnak a kereszteződéseknél","I veicoli possono effettuare una svolta a ""U"" all'incrocio","交差点でのUターンを許可","모든 교차로에서 유턴 허용","Voertuigen kunnen u-bochten op kruisingen maken","Pojazdy mogą zawracać na skrzyżowaniach","Veículos podem fazer retorno nas junções","Транспорт может разворачиваться на перекрёстках","車輛可在路口迴轉","车辆可以在路口掉头","Vehicles may do u-turns at junctions","Taşıtlar kavşakta U-dönüşü yapabilir","Дозволити розвертатися де завгодно на перехрестях","Vozidla se mohou na křižovatce otočit","Vozidla sa môžu na križovatke otočiť","ยานพาหนะอาจกลับรถที่ทางแยก","Vehiculele pot face întoarceri în intersecții","","ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﺪﻨﻋ ﺕﺎﺒﻛﺮﻤﻟﺍ ﺮﻳﺪﺘﺴﺗ ﺪﻗ","Kendaraan dizinkan untuk memutar balik pada persimpangan","Phương tiện có thể quay đầu tại giao lộ",""
"VR.Checkbox:Vehicles may turn on red","Fahrzeuge dürfen an roten Ampeln abbiegen","Vehicles may turn at red traffic lights","Los vehículos pueden girar en los semáforos rojos","Les véhicules peuvent tourner aux feux rouges","A járművek piros lámpánál kanyarodhatnak","I veicoli possono girare ai semafori rossi","車両が赤信号で曲がることがある","차량이 빨간불일때 진입할 수 있음","Voertuigen kunnen bij rode verkeerslichten draaien","Pojazdy mogą skręcić w prawo na czerwonym świetle","Veículos podem virar nos semáforos vermelhos","Разрешить поворот направо на красный","車輛可能會在紅燈時轉彎","车辆可以在红灯时允许转弯","Vehicles may turn at red traffic lights","Taşıtlar kırmızı ışık yanarken de dönebilir","Дозволити повертати на червоне світло","Vozidla se mohou otočit na červených světlech","Vozidlá sa môžu otočiť na červenej","ยานพาหนะอาจเปิดไฟจราจรสีแดง","Vehiculele pot porni roșu","","ﺀﺍﺮﻤﺤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﺪﻨﻋ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻒﻄﻌﻨﺗ ﺪﻗ","Kendaraan diizinkan untuk berbelok saat lampunya merah","Phương tiện có thể rẽ tại đèn đỏ",""
"VR.Checkbox:Also apply to left/right turns between one-way streets","Gilt auch für Links- & Rechtskurven zwischen Einbahnstraßen","Also apply to left & right turns between one-way streets","Aplicar a giros izquierda/derecha en calles de un carril","Appliquer de même aux virages gauche/droite entre des rues à sens unique","Ugyanez vonatkozik az egyirányú utcák közötti bal és jobb fordulásra is","Also apply to left & right turns between one-way streets","一方通行路の左右の曲がり角にも適用","일반통행간의 좌회전/우회전에도 적용","Also apply to left & right turns between one-way streets","Uwzględnia również skręt w lewo/prawo pomiędzy drogami jednokierunkowymi","Aplicar a curvas à esquerda/direita entre ruas de mão única","Разрешить направо/налево между улицами с односторонним движением","亦套用在單行道路口的左右轉","单行道左右转均应用","Also apply to left & right turns between one-way streets","Tek yön sokaklar arasındaki sağ/sol dönüşlere de uygulansın","Також можна повертати на вулиці з однобічним рухом","Vztahuje se také na jednoproudové silnice","Vzťahuje sa aj na jednosmerné cesty","นอกจากนี้ยังนําไปใช้กับเลี้ยวซ้าย / ขวาระหว่างถนนทางเดียว","Se aplică la întoarcerile între străzile cu un singur sens","","ﺪﺣﺍﻮﻟﺍ ﻩﺎﺠﺗﻻﺍ ﺕﺍﺫﻭ ﻯﺮﺴﻴﻟﺍﻭ ﻰﻨﻤﻴﻟﺍ ﺕﺎﻔﻄﻌﻨﻤﻟﺍ ﻰﻠﻋ ﻖﺒﻄﻨﺗ","Terapkan pada belokan kiri & kanan di antara jalan satu arah","Áp dụng với việc rẽ trái/phải giữa các đường một chiều",""
"VR.Checkbox:Vehicles going straight may change lanes at junctions","Fahrz. dürfen die Spur wechseln, wenn sie an Kreuzungen geradeaus fahren","Vehicles going straight on may change lanes at junctions","Los vehículos que circulan recto pueden cambiar de pista en intersecciones","Les véhicules allant tout droit peuvent changer de voie aux intersections","Az egyenesen haladó járművek sávot válthatnak a kereszteződéseknél","I veicoli che proseguono dritto possono cambiare corsia all'incrocio","直進車両の交差点での車線変更を許可","직진하는 차량이 교차로에서 차선을 변경할 수 있음","Voertuigen mogen van rijstrook wisselen als ze rechtdoor op kruisingen rijden","Pojazdy jadące na wprost mogą zmieniać pasy ruchu na skrzyżowaniach","Veículos seguindo reto podem mudar de faixa nos cruzamentos","Транспорт, идущий прямо, может менять полосы","直行車可在交岔路口上變換車道","直行车辆可以在路口变更车道","Vehicles going straight on may change lanes at junctions","Düz ilerleyen araçlar kavşaklarda şerit değiştirebilir","Дозволити міняти смуги руху на перехресті, якщо авто рухається прямо","Vozidla jedoucí rovně mohou změnit směr jízdy na křižovatce","Vozidlá idúce rovno môžu zmeniť smer jazdy na križovatke","รถที่วิ่งตรงไปอาจเปลี่ยนเลนที่ทางแยก","Vehiculele care merg drept înainte pot schimba benzile în intersecții","","ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﺪﻨﻋ ﺕﺍﺭﺎﺤﻟﺍ ﺮﻴﻴﻐﺘﺑ ﻢﻴﻘﺘﺴﻣ ﻩﺎﺠﺗﺍ ﻲﻓ ﺮﻴﺴﺗ ﻲﺘﻟﺍ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻡﻮﻘﺗ","Kendaraan yg lurus dapat pindah lajur pada persimpangan","Phương tiện đi thẳng có thể chuyển làn tại giao lộ",""
