"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"UI.Key:Unlimited; Default; Select","[[/]] | [[\]] Unbegrenzt; [[Entf]] | [[Zurück]] Standard; [[Alt+0]]..[[Alt+9]] Auswahl","[[Slash]] | [[Backslash]] Unlimited; [[Delete]] | [[Backspace]] Default; [[Alt+0]]..[[Alt+9]] Select","[[Slash]] | [[Backslash]] Sin límite; [[Delete]] | [[Backspace]] Por defecto; [[Alt+0]]..[[Alt+9]] Seleccionado","[[Slash]] | [[Backslash]] Illimité; [[Delete]] | [[Backspace]] Par défaut; [[Alt+0]]..[[Alt+9]] Sélection","","[[/]] | [[\]] Illimitato; [[Delete]] | [[Backspace]] Predefinito; [[Alt+0]]..[[Alt+9]] Seleziona","[[Slash]] | [[Backslash]]無制限; [[Delete]] | [[Backspace]] デフォルト; [[Alt+0]]..[[Alt+9]] 選択","[[/]] | [[\]] 무제한; [[Delete]] | [[Backspace]] 기본값; [[Alt+0]]..[[Alt+9]] 속도 선택","[[Slash]] | [[Backslash]] Onbeperkt; [[Delete]] | [[Backspace]] Standaard; [[Alt+0]]..[[Alt+9]] Selecteer","[[/]] | [[\]] Nieograniczona; [[Delete]] | [[Backspace]] Domyślna; [[Alt+0]]..[[Alt+9]] Wybierz prędkość","[[/]] | [[\]] Ilimitado; [[Delete]] | [[Backspace]] Padrão; [[Alt+0]]..[[Alt+9]] Selecionar","[[/]] | [[\]] Без ограничений; [[Delete]] | [[Backspace]] По умолчанию; [[Alt+0]]..[[Alt+9]] Выбрать скорость","[[Slash]] | [[Backslash]] 無限; [[Delete]] | [[Backspace]] 預設; [[Alt+0]]..[[Alt+9]] 設定","[[/]] | [[\]] 无限制; [[Delete]] | [[Backspace]] 默认; [[Alt+0]]...[[Alt+9]] 选择","[[Slash]] | [[Backslash]] Unlimited; [[Delete]] | [[Backspace]] Default; [[Alt+0]]..[[Alt+9]] Select","Sınırsız, varsayılan, hız seçimi için klavye ipucu","[[/]] | [[\]] Без обмежень; [[Delete]] | [[Backspace]] Скинути як було; [[Alt+0]]..[[Alt+9]] Обрати швидкість","Neomezěně, Výchozí, Zvolit","[[/]] | [[\]] Neobmedzená; [[Delete]] | [[Backspace]] Predvolená; [[Alt+0]]..[[Alt+9]] Zvolená","[[Slash]] | [[Backslash]] ไม่จำกัด; [[Delete]] | [[Backspace]] ค่าพื้นฐาน; [[Alt+0]]..[[Alt+9]] เลือก","","","ﺓﺩﻭﺪﺤﻤﻟﺍ ﺮﻴﻏ ﺔﻴﺿﺍﺮﺘﻓﻻﺍ ﺔﻋﺮﺴﻟﺍ ﺪﻳﺪﺤﺘﻟ","[[Slash]] | [[Backslash]] Tidak terbatas; [[Delete]] | [[Backspace]] Standar; [[Alt+0]]..[[Alt+9]] Pilih","[[Slash]] | [[Backslash]] Không giới hạn; [[Delete]] | [[Backspace]] Mặc định; [[Alt+0]]..[[Alt+9]] Lựa chọn",""
"UI.Key:Ctrl temporarily toggle between lanes and segments","Temporär zwischen Spuren und Segmenten umschalten","Temporarily toggle between lanes and segments","Alternar temporalmente entre carriles y segmentos","Basculer temporairement entre Segments et Voies","","Attiva/disattiva temporaneamente tra corsie e segmenti","Ctrlキーでレーンとセグメントを一時的に切り替え","일시적으로 차선/구간 전환","Tijdelijk schakelen tussen rijbanen en segmenten","Przełącz między widokiem pasów ruchu, a segmentami","Ctrl alternar temporariamente entre faixas e segmentos","Переключиться между сегментами и полосами движения","按下切換選擇車道/路段","临时切换车道/路段","Temporarily toggle between lanes and segments","Ekran görüntüsü ipucu","Перемикання між сегментами та смугами руху","Klávesou Ctrl můžete dočasně přepínat mezi pruhy/segmenty","","สลับระหว่างเลนและ segments ชั่วคราว","","","ﺕﺍﺭﺎﺤﻟﺍﻭ ﺕﺎﻃﺎﻘﺘﻟﺍ ﻦﻴﺑ ﻞﻳﺪﺒﺘﻠﻟ Ctrl ﺡﺎﺘﻔﻣ","Ubah mode setelan antara lajur dan bagian jalan","Tạm thời chuyển đổi giữa các làn xe với đoạn đường",""
"RoadSignTheme:Kmph_Sweden","Schweden [km/h]","Sweden [km/h]","Suecia [km/h]","Suède [km/h]","","Svezia [km/h]","スウェーデンの道路標識","스웨덴식 (km/h)","Zweden [km/h]","Szwecja (km/h)","","Швеция (км/ч)","瑞典 (公里/小時)","瑞典-Kmph","Sweden [km/h]","İsveç [km/h]","Швеція (км/год)","Švédsko [km/h]","km/h (Švédsko)","สวีเดน [กม./ชม.]","","","ﺪﻳﻮﺴﻟﺍ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Swedia [km/j]","Thụy Điển [km/h]",""
"RoadSignTheme:Kmph_Brazil","Brasilien [km/h]","Brazil [km/h]","Brasil [km/h]","Brésil [km/h]","","Brasile [km/h]","ブラジルの道路標識","브라질식 (km/h)","Brazilië [km/h]","Brazylia (km/h)","","Бразилия (км/ч)","巴西 (公里/小時)","巴西-Kmph","Brazil [km/h]","Brezilya [km/h]","Бразилія (км/год)","Brazílie [km/h]","km/h (Brazília)","บราซิล [กม./ชม.]","","","ﻞﻳﺯﺍﺮﺒﻟﺍ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Brasil [km/j]","Brazil [km/h]",""
"RoadSignTheme:Kmph_France","Frankreich [km/h]","France [km/h]","Francia [km/h]","France [km/h]","","Francia [km/h]","フランスの道路標識","프랑스식 (km/h)","Frankrijk [km/h]","Francja (km/h)","","Франция (км/ч)","法式 (公里/小時)","法国-Kmph","France [km/h]","Fransa [km/h]","Франція (км/год)","Francie [km/h]","km/h (Francúzsko)","ฝรั่งเศส [กม./ชม.]","Kmph_France","","ﺎﺴﻧﺮﻓ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Perancis [km/j]","Pháp [km/h]",""
"RoadSignTheme:Kmph_Indonesia","Indonesien [km/h]","Indonesia [km/h]","Indonesia [km/h]","Indonésie [km/h]","","Indonesia [km/h]","インドネシアの道路標識","인도네시아식 (km/h)","Indonesië [km/h]","Indonezja (km/h)","","Индонезия (км/ч)","印尼 (公里/小時)","印尼-Kmph","Indonesia [km/h]","Endonezya [km/h]","Індонезія (км/год)","Indonésie [km/h]","km/h (Indonézia)","อินโดนีเซีย [กม./ชม.]","","","ﺎﺴﺒﻧﻭﺪﻧﺍ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Indonesia [km/j]","Indonesia [km/h]",""
"RoadSignTheme:Kmph_Japan","Japan [km/h]","Japan [km/h]","Japón [km/h]","Japon [km/h]","","Giappone [km/h]","日本の道路標識","일본식 (km/h)","Japan [km/h]","Japonia (km/h)","","Япония (км/ч)","日式 (公里/小時)","日本-Kmph","Japan [km/h]","Japonya [km/h]","Японія (км/год)","Japonsko [km/h]","km/h (Japonsko)","ญี่ปุ่น [กม./ชม.]","","","ﻥﺎﺑﺎﻴﻟﺍ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Jepang [km/j]","Nhật Bản [km/h]",""
"RoadSignTheme:Kmph_SouthKorea","Südkorea [km/h]","South Korea [km/h]","Corea del Sur [km/h]","Corée du Sud [km/h]","","SudCorea [km/h]","韓国の道路標識","한국식 (km/h)","Zuid Korea [km/h]","Korea Południowa (km/h)","","Южная Корея (км/ч)","南韓 (公里/小時)","韩国-Kmph","South Korea [km/h]","Güney Kore [km/j]","Південна Корея (км/год)","Jižní Korea [km/h]","km/h (Južná Kórea)","เกาหลีใต้ [กม./ชม.]","","","ﺝ ﺎﻳﺭﻮﻛ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Korea Selatan [km/j]","Hàn Quốc [km/h]",""
"RoadSignTheme:Kmph_China","China [km/h]","China (Mainland) [km/h]","China [km/h]","Chine [km/h]","","Cina continentale [km/h]","中国(本土用)の道路標識","중국식 (km/h)","China [km/h]","Chiny (km/h)","","Китай континентальный (км/ч)","中國大陸 (公里/小時)","中国-KMph","China (Mainland) [km/h]","Çin [km/h]","Китай континентальний (км/год)","Čína [km/h]","km/h (Čína)","สาธารณรัฐประชาชนจีน ตัวหนังสือจีน [km/h]","","","","Tiongkok [km/j]","Trung Quốc [km/h]",""
"RoadSignTheme:Kmph_China_Generic","China (Generisch) [km/h]","China (Generic) [km/h]","China genérico [km/h]","Chine [km/h]","","Cina [km/h]","中国(一般的)の道路標識","중국식(공용) (km/h)","China (algemeen) [km/h]","Chiny (km/h ogólne, bez glifów)","","Китай (км/ч)","中式 (公里/小時)","中国（通用）-KMph","China (Generic) [km/h]","Çin [km/h]","Китай (км/год)","Čína [km/h]","","สาธารณรัฐประชาชนจีน เฉพาะตัวหนังสือโรมัน [km/h]","","","","Tiongkok (Umum) [km/j]","Trung Quốc (Chung) [km/h]",""
