English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
Set_all_traffic_lights_to_red,将所有红绿灯设为红灯,將所有號誌燈設為紅燈,"Alle stoplichten op rood zetten","Set all traffic lights to red","Set all traffic lights to red","Mettre tous les feux au rouge","Alle Ampeln auf rot setzen","Állítsa az összes lámpát pirosra","Imposta tutti i semafori sul Rosso",全信号を赤に設定,"모든 신호등을 빨간불로 설정","Ustaw wszystkie sygnalizatory na sygnał czerwony","Definir todos os semáforos para vermelho","Включить везде красный свет","Poner todos los semáforos en rojo",Strings.csv
Rotate_left,向左旋转,向左轉動,"Linksom draaien","Rotate left","Rotate left","Rotation vers la gauche","Links rotieren","Forgasd balra","Ruota a sinistra",左に回転,"반시계방향 신호회전","Obróć w lewo","Girar para a esquerda","Повернуть налево","Girar a la izq.",Strings.csv
Rotate_right,向右旋转,向右轉動,"Rechtsom draaien","Rotate right","Rotate right","Rotation vers la droite","Rechts rotieren","Forgasd jobbra","Ruota a destra",右に回転,"시계방향 신호회전","Obróć w prawo","Girar para a direita","Повернуть направо","Girar a la der.",Strings.csv
Name,名称,名稱,Naam,Name,Name,Nommer,Name,Név,Nome,名前,이름,Nazwa,Nome,Название,Nombre,Strings.csv
Apply,应用,套用,Toepassen,Apply,Apply,Appliquer,Anwenden,Alkalmaz,Applica,適用,적용,Zastosuj,Aplicar,Применить,Aplicar,Strings.csv
Select_a_timed_traffic_light_program,请选择一个红绿灯来设定定时,請點選一個號誌燈的時相程序,"Selecteer een programma voor tijdgestuurde stoplichten","Select a timed traffic light program","Select a timed traffic light program","Sélectionner un programme de chronométrage des feux","Wähle ein zeitgesteuertes Ampelprogramm aus","Válasszon egy időzített jelzőlámpa-programot","Seleziona pattern per il semaforo temporizzato",時間設定付き信号のプログラムを選択してください,"선택된 신호등 프로그램","Wybierz program dla czasowej sygnalizacji świetlnej","Selecione um programa de semáforo cronometrado","Выбор режима настраиваемого светофора","Seleccionar un semáforo programado",Strings.csv
The_chosen_traffic_light_program_is_incompatible_to_this_junction,所选择的红绿灯模式不能用于此路口,所選的號誌燈時相不適用於此交叉路口,"Het geselecteerde stoplichtenprogramma is niet compatibel met deze kruising","The chosen traffic light pattern is incompatible with this junction","The chosen traffic light pattern is incompatible with this junction","Le modèle de chronométrage choisi est incompatible avec cette intersection","Das ausgewählte Ampelprogramm ist inkompatibel zu dieser Kreuzung","A kiválasztott jelzőlámpa-minta nem kompatibilis ezzel a csomóponttal","Il pattern scelto è incompatibile con questo incrocio",選択された信号パターンはこの交差点と互換性がありません,"선택한 교통 신호규칙이 이 교차로와 맞지 않습니다","Wybrany szablon sygnalizacji jest niekompatybilny z tym skrzyżowaniem","O padrão de semáforo escolhido é incompatível com este cruzamento","Выбранный режим светофора несовместим с данным перекрёстком","El programa de semáforo elegido es incompatible para este cruce",Strings.csv
Advanced_AI_cannot_be_activated,高级车辆AI无法启动,"加強版 AI 無法啟動","Verbeterde voertuig-KI kan niet worden geactiveerd","Advanced AI cannot be activated","Advanced AI cannot be activated","L'IA avancée ne peut pas être activée","Erweiterte Fahrzeug-KI kann nicht aktiviert werden","Az Advanced AI nem aktiválható","La IA Avanzata non può essere attivata","Advanced Vehicle AIは有効にできません","발전된 AI 활성화 불가","Nie można włączyć Zaawansowanej SI","IA avançada não pode ser ativada","Продвинутый AI не может быть активирован по причине используемого вами другого мода, который изменяет поведение транспорта (например Improved AI, Traffic++).","IA Avanzada no puede ser activada",Strings.csv
The_Advanced_Vehicle_AI_cannot_be_activated,高级车辆AI无法启动，因为您已启用其他车辆控制MOD,"加強版車輛AI無法啟動，因為您所使用的其它車輛行控模組正作動中（例如 Improved AI 或 Traffic++）","De verbeterde voertuig-KI kan niet geactiveerd worden, omdat je reeds aan andere mod gebruikt, die het gedrag van voertuigen verandert (bijv. Improved AI of Traffic++).","The Advanced Vehicle AI cannot be activated because you are already using another mod that modifies vehicle behavior (e.g. Improved AI or Traffic++).","The Advanced Vehicle AI cannot be activated because you are already using another mod that modifies vehicle behavior (e.g. Improved AI or Traffic++).","L'IA des véhicules avancée ne peut être activée car vous utilisez déjà un autre mod qui modifie le comportement des véhicules (par exemple Improved AI ou Traffic++).","Die erweiterte Fahrzeug-KI kann nicht aktiviert werden, weil du bereits einen anderen Mod verwendest, der das Verhalten von Fahrzeugen verändern (z.B. Improved AI oder Traffic++).","Az Advanced Vehicle AI nem aktiválható, mert már használ egy másik modult, amely módosítja a jármű viselkedését (pl. Improved AI vagy Traffic ++).","La IA Avanzata non può essere attivata perchè stai usando un'altra mod che modifica il comportamento dei veicoli (es. Improved AI o Traffic++).","Advanced Vehicle AIは、車両の振る舞いを変える他のMOD(例えばImproved AIやTraffic++)を既に使っているため、有効にできません.","이미 다른 모드로 차량 AI 향상을 사용 중이므로 발전된 차량 AI를 사용 할 수 없습니다.(예 : 향상된 AI, 트래픽 C++)","Zaawansowana SI nie może zostać włączona, ponieważ aktywowana została inna modyfikacja zmieniająca zachowanie pojazdów (np:. Improved AI lub Traffic++).","a IA avançada não pode ser ativada porque você já esta usando outro mod que modifica o comportamento do veículo (Traffic++, Improved AI por exemplo)","Продвинутый AI не активирован, потому что вами уже используется иной мод, что меняет поведение транспорта (например Improved AI, Traffic++).","La IA de vehículos avanzada no puede ser activada debido a que estás usando algún otro mod que modifica el comportamiento de los vehículos (por ejemplo Improved AI o Traffic++)",Strings.csv
Enable_dynamic_path_calculation,启用动态路径计算,啟用動態的路線運算,"Activeer dynamische routeberekening","Enable dynamic path calculation","Enable dynamic path calculation","Activer le calcul dynamique des chemins","Aktiviere die dynamische Pfadberechnung","A dinamikus út számításának engedélyezése","Abilita calcolo del percorso dinamico",動的なパス計算を有効にする,"동적인 경로 계산 활성화","Aktywuj dynamiczne wyznaczanie ścieżki","Ativar o cálculo de caminho dinâmico","Включить динамическое вычисление пути","Activar el cálculo dinámico de las rutas",Strings.csv
Lane_Arrow_Changer_Disabled_Connection,车道箭头不可改变因为你已经手动创建车道连接,因為您已手動創建了車道的連接，故在此車道上無法使用改變遵行方向的功能,"Voor deze rijstrook kan de rijstrookpijl niet aangepast worden, omdat je handmatig rijstrookverbindingen hebt gemaakt.","The lane arrow changer for this lane is disabled because you have created lane connections by hand.","The lane arrow changer for this lane is disabled because you have created lane connections by hand.","Le modificateur des directions de voies est désactivé pour cette voie car vous avez manuellement créé des connexions de voies.","Die Richtungspfeile für diese Spur können nicht geändert werden, weil du Spuren von Hand verbunden hast.","Ennek a sávnak a sáv nyílváltója le van tiltva, mert kézzel hozta létre a sávcsatlakozásokat.","La modifica delle frecce di direzione per questa corsia è disabilitata perchè hai creato la connessione della corsia a mano.",手動で車線接続を作成したため、この車線の矢印の変更は無効になっています,"차선 연결로 이미 수정된 교차로이므로 차선변경을 할 수 없습니다.","Zmiana strzałek pasów ruchu jest niedostępna, ponieważ pasy ruchu zostały połączone ręcznie.","O trocador de seta de pista esta desabilitado para essa pista porque você criou uma conexão de pista manualmente.","Переключатель стрелки движения для этого перекрёстка отключён, потому что вы создали соединение перекрёстка вручную.","El modificador de flechas de la carretera fue desactivado porque has creado las conexiones manualmente.",Strings.csv
Lane_connector,车道连接工具,車道連接工具,Rijstrookverbinder,"Lane connector","Lane connector","Connecteur de voies",Fahrspurverbinder,Sávcsatlakozó,"Connettore corsia",車線を接続,"차선 연결","Połącz pasy ruchu","Conector de pistas","Линии движения","Conector de carriles",Strings.csv
Connected_lanes,已连接车道,已連接車道,"Verbonden rijstroken","Connected lanes","Connected lanes","Voies connectées","Verbundene Fahrspuren","Összekapcsolt sávok","Corsie connesse",接続した車線,"연결된 차선","Połączenia pasów ruchu","Pistas conectadas","Связанные маршруты","Carriles conectados",Strings.csv
Use_alternative_view_mode,使用替代视图模式,使用替代瀏覽模式,"Gebruik alternatief aanzicht","Use alternative view mode","Use alternative view mode","Utiliser le mode de vue alternatif","Verwende den alternativen Anzeigemodus","Használjon alternatív nézet módot","Utilizza modilità vista alternativa",代替表示モードを使用する,"대체보기 모드 사용","Użyj alternatywnego widoku","Usar modo de visão alternativo","Альтернативный вид просмотра","Usar modo de vista alternativo",Strings.csv
Road_type,道路类型,道路類型,Wegsoort,"Road type","Road type","Type de route",Straßentyp,"Út típusa","Tipo di strada",道路の種類,"도로 유형","Typ drogi","Tipo de pista","Тип дороги","Tipo de carretera",Strings.csv
Default_speed_limit,默认道路限速,預設道路速限,"Standaard snelheidslimiet","Default speed limit","Default speed limit","Limite de vitesse par défaut",Standard-Geschwindigkeitsbeschränkung,"Alapértelmezett sebességkorlátozás","Limite velocità di default",デフォルトの制限速度,"기본 속도 제한","Domyślny limit prędkości","Limite de velocidade padrão","Ограничение скорости по-умолчанию","Límite de velocidad por defecto",Strings.csv
Unit_system,单元制度,單位制,Eenhedenstelsel,"Unit system","Unit system","Système d'unités",Einheitensystem,Egységrendszer,"Unità di misura",単位系,"유닛 시스템","System jednostek","Sistema de unidade","Системы единиц","Sistema de medida",Strings.csv
Metric,公制,公制,Metrisch,Metric,Metric,"Système métrique",Metrisch,Metric,Metrico,メートル法,미터법,Metryczne,Metrico,Метрическая,Métrico,Strings.csv
Imperial,英制,英制,Emperisch,Imperial,Imperial,"Système impérial",Imperial,Császári,Imperiale,ヤード・ポンド法,마일법,Imperialne,Imperial,Международная,Imperial,Strings.csv
Use_more_CPU_cores_for_route_calculation_if_available,使用更多的CPU核心来计算路线,"使用更多的CPU核心來做路線運算 (若有的話)","Gebruik meer processorkernen voor routeberekening indien beschikbaar","Use more CPU cores for route calculation (if available)","Use more CPU cores for route calculation (if available)","Utiliser plus de cœurs du CPU pour le calcul de trajets (si disponible)","Verwende mehr CPU-Kerne zur Routenberechnung (falls verfügbar)","Használjon több CPU-magot az útvonal kiszámításához (ha rendelkezésre áll)","Utilizza più core della CPU per il calcolo del percorso (se disponile)",ルート計算にもっとCPUコアを使用する（利用可能な場合）,"경로 계산을 위한 더 많은 CPU코어 사용(가능한 경우)","Użyj więcej rdzeni procesora do obliczania tras (jeśli dostępne)","Usar mais nucleos de CPU para calcular a rota (se disponivel)","Многоядерный процессор для вычисления маршрута (при наличии)","Usar más nucleos del procesador para el cálculo de rutas (si está disponible)",Strings.csv
Activated_features,启用功能,已啟用的功能,"Geactiveerde functies","Activated features","Activated features","Fonctionnalités activées","Aktivierte Features","Aktivált szolgáltatások","Features attivate",有効な機能,"기능 활성화","Aktywowane funkcje","Recursos ativados","Активированные опции","Características activadas",Strings.csv
Junction_restrictions,路口管制,交岔路口動線連接制定,Splitsingsbeperkingen,"Junction restrictions","Junction restrictions","Restrictions des intersections",Kreuzungsbeschränkungen,"Csomópont korlátozások","Restrizioni incrocio",交差点の制限,"교차로 규칙","Ograniczenia na skrzyżowaniach","Restrições de junção","Ограничения на перекрёстках","Restricciones del cruce",Strings.csv
Prohibit_spawning_of_pocket_cars,禁止袖珍车产生,禁止行人憑空變出汽車移動,"Verbied opduiken van broekzakautomobielen","Prohibit cims to spawn pocket cars","Prohibit cims to spawn pocket cars","Empêcher l'apparition de voitures de poche","Verbiete Cims das Spawnen von Autos ""aus der Tasche heraus""","Tilos a cimkéknek zsebjárművek ívását","Vieta ai ""cims"" di spawnare ""pocket cars""",ポケットカーの生成禁止,"시민들의 포켓차량 소환 금지","Zabroń używania ""kieszonkowych samochodów""","Proibir o spawn de carros de bolso","Запрет появления ""карманных""(из сумки) автомобилей","Prohibir la creación de autos pequeños",Strings.csv
Reset_stuck_cims_and_vehicles,重置卡住的行人和车辆,重置卡死的行人和車輛,"Reset vastgelopen inwoners en voertuigen","Reset stuck cims and vehicles","Reset stuck cims and vehicles","Réinit. citoyens et véhicules coincés","Setze steckengebliebene Cims und Fahrzeuge zurück","Állítsa vissza a beragadt felfüggesztéseket és járműveket","Resetta cims e veicoli bloccati",立ち往生している人や車両をリセットする,"갇혀있는 시민과 차량 초기화","Zresetuj zablokowane samochody i ludzi","Resetar carros e cims presos","Удаление застрявших пешеходов и транспорта","Restablecer cims y vehículos atascados",Strings.csv
Default_speed_limits,默认速度限制,預設速限,"Standaard snelheidslimieten","Default speed limits","Default speed limits","Limites de vitesse par défaut",Standard-Geschwindigkeitsbeschränkungen,"Alapértelmezett sebességkorlátozások","Limiti di velocità di default",デフォルトの制限速度,"기본 속도 제한","Standardowe limity prędkości","Limites de velocidade padrão","Ограничения скорости по умолчанию","Límites de velocidad por defecto",Strings.csv
Looking_for_a_parking_spot,寻找停车位,尋找停車位中,"Op zoek naar een parkeerplaats","Looking for a parking spot","Looking for a parking spot","Cherche une place de stationnement","Sucht einen Parkplatz","Parkolóhelyet keres","In cerca di un parcheggio",駐車場を探す,"주차공간 찾는 중","Poszukuje miejsca parkingowego","Procurando uma vaga de estacionamento","Поиск места для парковки","Buscando un estacionamiento",Strings.csv
Driving_to_a_parking_spot,行驶到停车位,開往停車位中,"Rijdt naar een parkeerplaats","Driving to a parking spot","Driving to a parking spot","Se dirige vers un stationnement","Fährt zum Parkplatz","Vezetés egy parkolóhelyre","Guidando verso un parcheggio",駐車場への運転,"해당 주차공간으로 운전 중","Jedzie do miejsca parkingowego","Dirigindo para uma vaga de estacionamento","Движение к месту парковки","Conduciendo a un estacionamiento",Strings.csv
Driving_to_another_parking_spot,行驶到另一个停车位,開往另一處停車位中,"Rijdt naar een andere parkeerplaats","Driving to another parking spot","Driving to another parking spot","Se dirige vers un autre stationnement","Fährt zu einem anderen Parkplatz","Vezetés egy másik parkolóhelyre","Guidando verso un altro parcheggio",別の駐車場への運転,"다른 주차공간으로 운전 중","Jedzie do innego miejsca parkingowego","Dirigindo para outra vaga de estacionamento","Движение на другую парковку","Conduciendo a otro estacionamiento",Strings.csv
Entering_vehicle,进入车辆,上車中,"Stapt in voertuig","Entering vehicle","Entering vehicle","Entre dans un véhicule","Steigt ins Auto ein","Belépő jármű","Entrando nel veicolo",入庫,"차량 탑승 중","Wsiada do samochodu","Entrando no veículo","Посадка в транспорт","Vehículo entrante",Strings.csv
Walking_to_car,走向汽车,走向汽車中,"Loopt naar auto","Walking to car","Walking to car","Se dirige vers une voiture","Läuft zum Auto","Séta az autóhoz","Camminando verso l'auto",車まで歩く,"차 있던 곳으로 가는 중","Idzie do samochodu","Caminhando para carro","Идёт к автомобилю","Caminando al auto",Strings.csv
Using_public_transport,使用公共交通,使用大眾交通工具中,"Gebruikt openbaar vervoer","Using public transport","Using public transport","Utilise les transports en commun","Verwendet ÖPNV","Tömegközlekedés használata","Utilizzando il trasporto pubblico",公共交通機関を利用する,"대중교통 이용 중","Używa transportu publicznego","Usando transporte público","Использует общественный транспорт","Usando transporte público",Strings.csv
Walking,步行,走路中,Wandelt,Walking,Walking,Marche,Läuft,gyalogló,Camminando,歩く,"걷는 중",Idzie,Caminhando,Идёт,Caminando,Strings.csv
Thinking_of_a_good_parking_spot,找一个好停车位,盤算一個好停車位中,"Na aan het denken over een goede parkeerplaats","Thinking of a good parking spot","Thinking of a good parking spot","Réfléchit à un bon stationnement","Erinnert sich an einen Parkplatz","Jó parkolóhelyre gondol","Pensando ad un buon parcheggio",好ましい駐車場を考える,"주차하기에 좋은 장소를 생각 중","Myśli o odpowiednim miejscem parkingowym","Pensando em uma boa vaga de estacionamento","Думает о хорошем месте для парковки","Pensando en un buen estacionamiento",Strings.csv
Switch_view,切换视图,切換檢視,"Aanzicht wisselen","Switch view","Switch view","Changer de vue","Ansicht wechseln","Nézet váltása","Cambia vista",ビューを切り替える,"보기 전환","Zmień widok","Trocar visão","Переключение обзора","Cambiar vista",Strings.csv
Outgoing_demand,出货需求,出貨需求,"Uitgaande vraag","Outgoing demand","Outgoing demand","Demande sortante","Ausgehende Nachfrage","Kimenő kereslet","Outgoing demand",出ていく需要,"나가는 수요","Zapotrzebowanie - wychodzące","Demanda de saída","Исходящее требование","Demanda saliente",Strings.csv
Incoming_demand,进货需求,進貨需求,"Inkomende vraag","Incoming demand","Incoming demand","Demande entrante","Eingehende Nachfrage","Bejövő kereslet","Incoming demand",入っていく需要,"들어오는 수요","Zapotrzebowanie - przychodzące","Demanda de entrada","Входящее требование","Demanda entrante",Strings.csv
Advanced_Vehicle_AI,高级车辆AI,加強版行車AI,"Geavanceerde voertuig-KI","Advanced Vehicle AI","Advanced Vehicle AI","IA des véhicules avancée","Verbesserte Fahrzeug-KI","Advanced Vehicle AI","IA Avanzata",高度な車両AI,"발전된 차량 AI","Zaawansowana SI pojazdów","IA avançada de veículo","Продвинутый AI транспорта","IA de vehículos avanzada",Strings.csv
Heavy_trucks_prefer_outer_lanes_on_highways,大型车辆在高速公路上优先行驶外侧车道,大型車在高速公路上優先行駛於外側車道,"Zware vrachtverkeer verkiest buitenste rijstroken op snelwegen","Heavy vehicles prefer outer lanes on highways","Heavy vehicles prefer outer lanes on highways","Les véhicules lourds préfèrent les voies extérieures sur les autoroutes","Schwere Laster bevorzugen die äußeren Spuren auf Autobahnen","A nehéz járművek az autópályákon a külső sávokat részesítik előnyben","I veicoli pesanti preferiscono corsie esterne sulle autostrade",高速道路では大型車は外側車線を選択します,"무거운(화물)차량은 고속도로 바깥 차선을 선호","Samochody ciężarowe preferują zewnętrzne pasy na autostradach","Os veículos pesados preferem faixas externas nas rodovias","Большегрузный транспорт предпочитает крайние полосы на шоссе","Camiones prefieren los carriles exteriores en las autopistas",Strings.csv
Parking_AI,停车AI,道路停車AI,Parkeer-KI,"Parking AI","Parking AI","IA de stationnement",Parkplatz-KI,"Parkolás AI","Parking AI",駐車AI,"주차 AI","SI parkowania","IA de estacionamento","AI парковки","IA de estacionamientos",Strings.csv
Enable_more_realistic_parking,启用更真实的停车位,啟用更多現實中的停車位,"Schakel realistischer parkeren in","Enable more realistic parking","Enable more realistic parking","Activer le stationnement plus réaliste","Aktiviere realistisches Parken","Reálisabb parkolás engedélyezése","Abilita utilizzo più realistico dei parcheggi",より現実的な駐車を有効にする,"좀 더 현실적인 주차 활성화","Aktywuj bardziej realistyczny system parkowania samochodów","Habilitar estacionamento mais realista","Включить более реалистичную парковку","Activar estacionamientos más realista",Strings.csv
Reset_custom_speed_limits,重置自定义速度限制,重置自訂速限,"Reset aangepaste snelheidslimieten","Reset custom speed limits","Reset custom speed limits","Réinitialiser les limites de vitesse persos","Geschwindigkeitsbegrenzungen auf Standard zurücksetzen","Az egyedi sebességkorlátozások visszaállítása","Resetta i limiti di velocita personalizzati",カスタム速度制限をリセットする,"커스텀 속도 초기화","Zresetuj limity prędkości użytkownika","Resetar limites de velocidade modificados","Сбросить свои ограничения скорости","Restablecer límites de velocidad personalizados",Strings.csv
Reload_global_configuration,重新加载所有设定,重新載入所有設定,"Herlaad algemene configuratie","Reload global configuration","Reload global configuration","Recharger la config. globale","Globale Konfiguration neuladen","Töltse újra a globális konfigurációt","Ricarica configurazione globale",グローバル設定のリロード,"글로벌(global) 설정 불러오기","Przeładuj ustawienia globalne","Recarregar configuração global","Перезагрузить общую конфигурацию","Recargar configuración global",Strings.csv
Reset_global_configuration,重置所有设定,重置所有設定,"Reset algemene configuratie","Reset global configuration","Reset global configuration","Réinitialiser la config. globale","Globale Konfiguration zurücksetzen","A globális konfiguráció visszaállítása","Resetta configurazione globale",グローバル設定をリセット,"글로벌(global) 설정 초기화","Zresetuj ustawienia globalne","Resetar configuração global","Сбросить общую конфигурацию","Restablecer configuración global",Strings.csv
General,常规,普通,Algemeen,General,General,Général,Allgemein,Tábornok,Generale,全般,기본,Ogólne,Geral,Общее,General,Strings.csv
Gameplay,游戏,遊戲,Spelverloop,Gameplay,Gameplay,Gameplay,Spielerlebnis,Gameplay,Gioco,ゲームプレイ,게임플레이,Rozgrywka,Gameplay,Геймплей,Jugabilidad,Strings.csv
Overlays,覆盖,重疊,Transparanten,Overlays,Overlays,Interface,Überlagerung,Lefedések,Overlays,オーバーレイ,화면표시,Nakładki,Sobreposições,Оверлеи,"Capas de información",Strings.csv
Individual_driving_styles,个人驾驶风格,"Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles","Individuelle Fahrstile","Egyéni vezetési stílusok","Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles","Individual driving styles",Strings.csv
Evacuation_busses_may_ignore_traffic_rules,应急疏散巴士可忽略交通规则,緊急疏散公車可忽略交通規則,"Evacuatiebussen mogen verkeersregels overtreden","Evacuation buses may ignore traffic rules","Evacuation buses may ignore traffic rules","Les bus d'évacuation peuvent ignorer les règles de trafic","Evakuierungsbusse dürfen Verkehrsregeln missachten","Az evakuáló buszok figyelmen kívül hagyhatják a közlekedési szabályokat","I bus di evacuazione possono ignorare le regole stradali",避難バスは交通規則を無視するであろう,"대피 버스는 교통규칙을 무시합니다","Autobusy ewakuacyjne mogą ignorować przepisy","Os ônibus de evacuação podem ignorar as regras de trânsito","Автобусы эвакуации игнорируют правила движения","Los buses de evacuación pueden ignorar reglas de tránsito",Strings.csv
Evacuation_busses_may_only_be_used_to_reach_a_shelter,应急疏散巴士仅可用于到达避难所,緊急疏散公車僅可用於到達避難所,"Evacuatiebussen mogen enkel gebruikt worden om schuilkelders te bereiken","Evacuation buses may only be used to reach a shelter","Evacuation buses may only be used to reach a shelter","Les bus d'évacuation ne peuvent être utilisés que pour atteindre un abri","Evakuierungsbusse dienen nur zum Erreichen einer Notunterkunft","Az evakuáló buszok csak menhelyhez juthatnak","I bus di evacuazione possono essere usati solo per raggiungere un rifugio",避難バスは避難所へのアクセスにのみ使用できます,"대피 버스는 대피소 도착을 위한 용도로만 사용할 수 있습니다","Autobusy ewakuacyjne mogą przewozić tylko do schroniena","Os ônibus de evacuação só podem ser usados para alcançar um abrigo","Эвакуационные автобусы, только чтобы добраться до аварийного убежища","Los buses de evacuación sólo pueden usarse para llegar a un refugio",Strings.csv
Vehicle_behavior,车辆行为,車輛行為,Vortuiggedrag,"Vehicle behavior","Vehicle behavior","Comportement des véhicules",Fahrzeugverhalten,"A jármű viselkedése","Comportamente del veicolo",車両の挙動,"차량 제한","Zachowanie pojazdu","Comportamento do veículo","Поведение транспорта","Comportamiento vehícular",Strings.csv
Policies_&_Restrictions,政策与限制,政策與限制,Beleidsregels,Policies,Policies,Politiques,Richtlinien,Házirendje,Policies,ポリシーと制限,"정책 및 제한",Zasady,Políticas,Политики,Normas,Strings.csv
At_junctions,位于路口,位在交岔路口,"Bij splitsingen","At junctions","At junctions","Aux intersections","An Kreuzungen","A kereszteződésnél","Agli incroci",交差点で,"교차로 일괄 설정","Na strzyżowaniach","Nas junções","На перекрёстках","En los cruces",Strings.csv
In_case_of_emergency,在紧急情况下,在緊急狀況下,"In geval van nood","In case of emergency","In case of emergency","En cas d'urgence","Im Notfall","Sürgős esetben","In caso di emergenza",緊急の場合に,"긴급 상황 설정","W sytuacjach nadzwyczajnych","Em caso de emergência","В случае крайней необходимости","En caso de emergencia",Strings.csv
Show_lane-wise_speed_limits,显示道路各车道限速设置,顯示車道速限,"Toon rijstrookspecifieke snelheidslimieten","Show lane-wise speed limits","Show lane-wise speed limits","Afficher les limites de vitesse par voie","Zeige spurweise Geschwindigkeitsbeschränkungen","Mutassa meg a sáv szerinti sebességkorlátozásokat","Mostra limite velocità per ogni corsia",車線毎の制限速度を表示する,"차선 속도제한 보기","Pokaż limity prędkości dla pasów","Mostrar limites de velocidade por faixa.","Показывать ограничения скорости по полосам","Mostrar límite de velocidad en el carril",Strings.csv
Language,语言,語言,Taal,Language,Language,Langue,Sprache,Nyelv,Lingua,言語,언어,Język,Linguagem,Локализация,Idioma,Strings.csv
Game_language,同游戏语言,遊戲顯示語言,"Taal van spel","Game language","Game language","Langue du jeu",Spielsprache,"A játék nyelve","Lingua di gioco",ゲームの言語,"게임 언어","Język gry","Linguagem do Jogo","Язык игры","Idioma del juego",Strings.csv
requires_game_restart,重启后生效,需要重新啟動遊戲,"Vereist spelherstart","requires game restart","requires game restart","nécessite le redémarrage du jeu","erfordert einen Neustart des Spiels","a játék újraindításához szükséges","Richiede il riavvio del gioco",ゲームの再起動が必要,"게임 재시작 후 적용됩니다","wymagane ponowne uruchomienie gry","Requer reinicialização do jogo","требуется перезапуск игры","Requiere reiniciar el juego",Strings.csv
Customizations_come_into_effect_instantaneously,订制模拟真实度将立即生效,自訂值即時生效,"Aanpassingen zijn onmiddelijk van toepassing","Customizations come into effect instantaneously","Customizations come into effect instantaneously","Les personnalisations prennent effet instantanément","Anpassungen treten sofort in Kraft","A testreszabások azonnal hatályba lépnek","Le modifiche avranno effetto immediatamente",カスタマイズが即座に有効になります,"커스텀 기능이 즉시 적용됩니다","Modyfikacje ustawień mają natychmiastowy efekt","Personalizações entram em vigor instantaneamente","Настройки применяются сразу","Los modificaciones tendrán efecto instantáneamente",Strings.csv
Options,选项,選項,Instellingen,Options,Options,Paramètres,Optionen,Opciók,Opzioni,オプション,설정,Opcje,Opções,Свойства,Opciones,Strings.csv
Lock_main_menu_button_position,锁定主菜单按钮位置,鎖定主選單的選項位置,"Vergendel positie van hoofdmenuknop","Lock main menu button position","Lock main menu button position","Verrouiller la position du bouton du menu principal","Position der Hauptmenü-Schaltfläche sperren","Zárja a főmenü gomb pozícióját","Blocca posizione del bottone (menu)",メインメニューボタン位置をロックする,"TMPE 모드버튼 위치 잠금","Zablokuj pozycję przycisku menu głównego","Travar posição do botão de menu principal","Блокировка позиции кнопки Главного меню","Bloquear la posición del menú principal",Strings.csv
Lock_main_menu_position,锁定主菜单位置,鎖定主選單的位置,"Vergrendel positie van hoofdmenu","Lock main menu position","Lock main menu position","Verrouiller la position du menu principal","Position des Hauptmenüs sperren","Zárja a főmenü pozícióját","Blocca posizione del menu",メインメニュー位置をロック,"TMPE 모드매뉴 위치 잠금","Zablokuj pozycję menu głównego","Travar posição do menu principal","Блокировка позиции Главного меню","Bloquear posición del menú principal",Strings.csv
Recalculating_lane_routing,重新计算车道路线,重新規劃行駛路線,"Rijstrookroutering wordt herberekend","Recalculating lane routing","Recalculating lane routing","Recalcul des itinéraires en cours","Berechne Routenführung neu","Újraszámoló sávút","Ricalcolo percorso corsia",レーンルーティングの再計算,"모든 경로 재 계산중","Ponowne obliczanie tras","Recalculando o roteamento de faixa","Обновление маршрута","Recalculando la ruta del carril",Strings.csv
Please_wait,请稍候,請稍候,"Even geduld graag","Please wait","Please wait","Merci de patienter","Bitte warten","Kérlek várj","Attendere prego",お待ちください,"잠시만 기다려주십시오","Proszę czekać","Por favor, aguarde","Подождите, пожалуйста","Espera por favor",Strings.csv
Parking_restrictions,路边停车限制,停車限制,Parkeerbeperkingen,"Parking restrictions","Parking restrictions","Restrictions de stationnement",Parkverbote,"Parkolási korlátozások","Divieti di sosta",駐車規制,"주차 제한","Ograniczenia parkingowe","Restrições de estacionamento","Ограничения парковки","Restricciones de los estacionamientos",Strings.csv
Simulation,模拟,Simulation,Simulatie,Simulation,Simulation,Simulation,Simulation,tettetés,Simulazione,シミュレーション,시뮬레이션,Symulacja,Simulation,Моделирование,Simulación,Strings.csv
On_roads,专用道路,"On roads","On roads","On roads","On roads","Sur les routes","Auf Straßen",Utakon,"Su strade",道路上,"도로 설정","Na drogach","On roads","На дорогах","On roads",Strings.csv
